数据导出
唯一标识,商品编码,商户编码,图片链接,审核状态,异常标识
TMT000000007968818	,000000011275355799		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/ukDvxjmwx3PgJkb8nRyGwg.png	,1	,1	
TMT000000007968815	,000000011275354715		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/ROclbf2PHsykIyq7E-S64g.png	,1	,1	
TMT000000007968817	,000000011275355224		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/Y1WtPcscQtZOYXMcq8eboQ.png	,1	,1	
TMT000000007968821	,000000011275356568		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/gPMnFaSAh4kj6c25VNFFeA.png	,1	,1	
TMT000000007643575	,000000011211379066		,0070851000	,https://image.suning.com/uimg/sop/transparent/158200818562567002922101.png	,3	,1	
TMT000000007643740	,000000011211371111		,0070851000	,https://image.suning.com/uimg/sop/transparent/716640130246792071589459.png	,3	,1	
TMT000000007968681	,000000011211371111		,0070851000	,https://image.suning.com/uimg/sop/transparent/160881558157048636656752.png	,1	,1	
TMT000000007968675	,000000011211434562		,0070851000	,https://image.suning.com/uimg/sop/transparent/203408639116310841011105.png	,1	,1	
TMT000000007968680	,000000011211379066		,0070851000	,https://image.suning.com/uimg/sop/transparent/963498240611846155308299.png	,1	,1	
TMT000000007643305	,000000011211434562		,0070851000	,https://image.suning.com/uimg/sop/transparent/180169987026471016176881.png	,3	,1	
TMT000000007642587	,000000011211469010		,0070851000	,https://image.suning.com/uimg/sop/transparent/350282246154589622433352.png	,3	,1	
TMT000000007968481	,000000011211469010		,0070851000	,https://image.suning.com/uimg/sop/transparent/110544451016047259864336.png	,1	,1	
TMT000000007968303	,000000011211536090		,0070851000	,https://image.suning.com/uimg/sop/transparent/111710678158064790443336.png	,1	,1	
TMT000000007968261	,000000011275313531		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/FhiZBARLdFUmkozuCdr00w.png	,1	,1	
TMT000000007968262	,000000011275314371		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/MLnXzG7MO8YOuiIZNYAOrw.png	,1	,1	
TMT000000007968301	,000000011211539139		,0070851000	,https://image.suning.com/uimg/sop/transparent/169380388330608451817060.png	,1	,1	
TMT000000007609079	,000000011211536090		,0070851000	,https://image.suning.com/uimg/sop/transparent/109968412415345503622184.png	,3	,1	
TMT000000007968263	,000000011275314735		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/XfXJP7RxmnjCbXP0Y77pVg.png	,1	,1	
TMT000000007968264	,000000011275314889		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/xRY5itPbVgsxJrnnIrzdNg.png	,1	,1	
TMT000000007968265	,000000011275315358		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/y8qMNwm7eWK0RSYcVdZ29Q.png	,1	,1	
TMT000000007609076	,000000011211539139		,0070851000	,https://image.suning.com/uimg/sop/transparent/191803256994736223819400.png	,3	,1	
TMT000000007968134	,000000011275310841		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/a8mvraoB8gKUIkipmn_q-g.png	,1	,1	
TMT000000007968130	,000000011275308350		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/uggbVVfETq3XICJCxciu-Q.png	,1	,1	
TMT000000007968136	,000000011275311636		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/bIPCRqh2IoLkdwj8Fi2mog.png	,1	,1	
TMT000000007968133	,000000011275309580		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/1VjeN_8kvRMCkDgoOcPczg.png	,1	,1	
